Año;Periodo;Muertos
1990;Año;1231
1991;Año;1276
1992;Año;1044
1993;Año;972
1994;Año;888
1995;Año;878
1996;Año;780
1997;Año;886
1998;Año;868
1999;Año;844
2000;Año;904
2001;Año;845
2002;Año;807
2003;Año;838
2004;Año;693
2005;Año;652
2006;Año;520
2007;Año;542
2008;Año;447
2009;Año;380
2010;Año;362
2011;Año;324
2012;Año;260
2013;Año;233
2014;Año;220
2015;Año;226
2016;Año;255
2017;Año;225
2018;Año;259
2019;Año;220
2020;Año;191
2021;Año;202
2022;Año;227
2023;Año;234
;;
;;
"Métrica:""Muertos""";;
"Fuente:""DGT""";;
"Clasificación:""""";;
"Unidad:""Muertos""";;
"Escala:""Unidades""";;
"EscalaFactorPotencia10:""0""";;
"SonDatosNumericos:""True""";;
;;
;;
"Url:""https://www.epdata.es/fallecidos-carretera-verano-accidentes-trafico/72d07973-4a4e-4b7e-a4be-ac5686fa3c22""";;
"Titulo:""Muertos en carretera durante el verano en accidentes de tráfico""";;
"Subtitulo:""""";;
